shift_duration_hrs,ventilation_rate_m3_per_min,methane_level_ppm,machinery_age_years,avg_worker_experience_yrs,workforce_size,depth_m,temperature_c,incidents_last_30_days,incident_occurred
12,6.82,121.5,1.5,3.9,22,159.0,28.0,0,0
12,5.84,133.0,5.0,2.0,33,128.0,25.2,0,1
8,5.01,83.4,13.4,0.7,25,201.0,33.0,1,0
8,6.66,143.3,17.8,10.9,21,635.0,33.9,0,1
10,4.57,12.8,9.2,3.2,22,756.0,36.0,1,0
8,1.5,13.8,12.1,10.5,16,397.0,31.2,1,0
8,7.29,28.3,3.8,4.4,15,639.0,33.7,0,0
8,8.13,109.5,16.1,5.6,24,220.0,26.7,0,0
8,2.25,36.1,19.3,8.2,13,877.0,33.1,1,1
12,4.68,50.0,5.4,5.4,5,347.0,31.7,1,0
8,7.61,76.7,9.9,2.5,7,769.0,30.7,2,1
10,10.2,250.6,1.7,3.6,25,854.0,20.2,0,0
8,6.54,2.1,11.2,8.1,27,785.0,26.1,0,0
10,5.19,157.2,10.1,2.3,13,107.0,27.8,0,0
10,6.17,165.8,2.9,2.5,23,603.0,30.7,0,0
8,8.97,240.4,8.8,0.5,23,152.0,40.0,0,0
12,5.34,404.9,6.7,12.3,27,55.0,32.3,1,0
10,5.06,3.1,10.4,0.5,31,94.0,23.9,1,0
12,5.63,25.0,11.7,5.2,31,829.0,25.6,0,0
12,4.78,326.0,0.2,2.7,16,822.0,34.9,0,0
10,6.72,92.0,15.2,2.6,31,242.0,25.4,1,0
12,9.42,124.7,14.3,5.7,38,515.0,33.1,1,1
8,7.08,163.2,7.3,0.3,37,862.0,28.6,1,1
8,6.05,170.5,1.1,4.5,32,472.0,27.2,0,1
8,5.97,402.7,15.1,7.4,35,385.0,25.5,1,0
8,3.69,868.9,19.1,8.8,36,461.0,12.8,0,0
8,8.09,191.0,4.8,0.9,24,722.0,30.7,1,0
8,6.36,50.8,6.5,11.4,39,456.0,22.7,1,0
12,6.18,317.7,3.7,5.3,35,716.0,20.9,0,0
8,12.0,7.6,11.5,10.7,35,417.0,29.2,0,0
8,7.04,39.4,3.1,3.3,26,264.0,33.1,2,0
10,5.15,341.5,7.1,3.9,13,328.0,19.5,1,0
8,5.73,44.4,13.9,12.6,13,116.0,33.0,1,0
12,8.57,37.4,11.2,11.5,19,473.0,23.5,0,0
8,6.7,22.3,7.7,3.0,17,176.0,31.2,0,0
12,3.91,294.0,8.4,1.6,26,740.0,30.9,0,1
10,8.15,104.0,11.2,2.5,20,408.0,27.0,0,0
8,5.3,168.5,0.1,2.5,36,700.0,28.1,1,0
8,9.87,41.0,1.6,1.7,6,861.0,26.0,2,0
12,8.44,212.8,17.6,1.6,30,772.0,29.3,0,0
10,5.69,214.1,1.6,9.9,18,859.0,29.3,0,0
10,8.81,56.2,14.1,0.4,38,533.0,23.4,3,0
10,6.62,79.3,18.4,5.7,12,191.0,21.2,1,0
8,8.03,35.3,5.4,0.9,25,845.0,33.0,0,0
8,7.37,563.0,7.4,2.1,32,788.0,29.0,0,1
8,4.98,155.6,11.4,0.3,10,785.0,32.3,2,1
12,5.34,409.0,17.6,1.6,24,639.0,24.6,2,1
10,8.35,54.2,18.8,7.3,35,581.0,23.9,0,0
8,5.9,228.4,14.8,10.8,37,63.0,22.9,0,0
8,5.77,217.8,1.7,1.3,11,686.0,27.1,0,0
8,4.78,176.5,13.4,3.1,12,128.0,29.2,0,0
8,7.26,505.6,8.2,3.2,13,271.0,25.3,0,1
10,10.21,75.0,9.4,10.3,6,519.0,35.8,1,0
10,4.58,21.0,1.0,7.2,21,434.0,24.8,0,0
12,6.54,167.1,3.8,3.6,21,63.0,29.2,0,0
8,9.04,196.0,15.8,5.6,39,750.0,23.6,0,0
8,6.36,128.4,9.1,9.4,34,797.0,24.6,1,0
10,7.31,34.8,6.0,0.0,10,630.0,27.6,0,0
10,4.59,105.3,7.7,2.6,8,510.0,23.8,1,0
10,7.27,56.1,17.1,11.9,39,867.0,28.4,1,1
10,6.16,83.7,15.0,6.7,13,152.0,30.2,0,0
8,8.27,155.4,5.4,3.9,10,677.0,33.5,1,0
10,8.64,205.1,2.4,3.8,17,159.0,22.6,0,0
8,11.16,39.6,5.0,2.1,26,375.0,28.8,0,0
8,7.54,78.0,18.4,3.7,32,548.0,27.7,0,0
8,7.09,47.0,11.6,5.3,34,677.0,18.8,2,1
8,6.85,33.2,10.7,2.7,6,53.0,22.4,0,0
10,5.86,229.4,11.9,6.3,12,272.0,30.4,2,0
8,7.11,360.0,7.3,9.9,13,507.0,21.2,1,0
10,5.97,69.4,16.1,0.8,5,503.0,27.6,2,1
12,6.8,208.7,10.5,3.0,17,592.0,17.4,0,0
8,8.87,340.9,2.3,2.6,19,308.0,27.5,0,0
8,4.69,280.7,2.6,5.8,36,509.0,17.7,0,0
10,8.55,30.3,10.7,1.4,38,211.0,25.0,0,0
8,8.87,469.5,18.7,5.1,35,209.0,25.8,1,0
8,6.29,70.9,6.2,10.5,18,540.0,28.6,0,0
8,2.68,62.2,17.4,2.7,18,633.0,26.7,0,0
8,5.41,9.7,15.3,12.1,33,152.0,21.8,0,0
12,8.83,99.9,5.0,24.9,23,154.0,21.9,0,0
12,6.46,17.3,0.7,0.6,31,531.0,19.9,0,0
10,4.7,42.9,2.0,1.3,13,280.0,29.0,0,0
12,5.59,57.2,14.6,15.0,32,384.0,28.8,1,0
12,8.01,248.2,4.0,15.9,28,391.0,31.3,1,0
8,7.48,312.5,7.4,0.5,32,202.0,25.5,1,0
12,6.07,54.0,10.0,0.1,22,51.0,19.3,1,0
10,5.84,293.5,14.5,0.9,29,775.0,26.4,1,1
12,5.79,292.0,2.3,27.6,39,658.0,28.1,2,0
12,4.84,217.0,8.1,1.0,8,637.0,22.2,0,0
8,9.41,23.8,9.7,3.5,18,515.0,22.7,0,0
8,5.92,175.8,10.8,9.4,30,646.0,30.3,1,0
8,8.69,435.1,16.4,0.1,12,845.0,28.5,0,0
8,9.24,172.1,3.4,4.6,28,616.0,33.7,0,0
12,8.3,60.4,16.2,1.6,20,275.0,36.6,0,0
12,5.72,104.1,13.9,9.9,24,535.0,20.5,1,0
8,7.23,155.7,11.1,1.7,19,426.0,25.9,0,0
10,6.46,107.2,14.0,5.8,11,523.0,28.6,0,1
8,4.87,19.2,8.2,5.6,21,490.0,29.8,0,0
8,7.08,56.1,2.8,1.3,26,780.0,33.1,1,0
8,4.38,243.2,13.3,0.2,26,604.0,31.6,0,1
8,8.64,296.4,10.5,2.6,16,210.0,33.7,0,0
12,5.66,22.2,12.8,1.7,22,104.0,28.3,1,0
8,6.86,456.7,6.8,8.3,19,411.0,24.9,0,0
10,7.01,59.8,18.1,8.1,20,63.0,37.7,0,0
10,6.03,162.8,11.7,3.1,9,321.0,28.8,0,0
8,7.56,209.0,1.7,4.7,6,363.0,26.8,0,0
12,5.65,250.7,9.0,4.6,32,369.0,22.6,1,0
12,8.07,437.1,15.1,8.8,31,882.0,28.8,0,0
8,4.08,56.3,15.9,2.8,35,308.0,33.0,0,1
8,6.73,293.3,9.9,1.6,5,275.0,25.5,1,0
8,9.99,21.2,17.9,1.5,33,160.0,27.3,0,0
8,4.7,183.1,5.4,3.8,5,484.0,29.2,0,0
8,5.28,203.2,8.2,3.0,12,181.0,30.4,0,0
10,7.43,169.9,18.0,2.9,20,574.0,26.7,1,1
10,6.82,43.6,17.9,0.5,32,182.0,26.0,0,0
8,7.13,309.6,13.7,6.3,26,540.0,25.4,0,0
8,7.38,27.7,17.2,1.2,22,752.0,22.5,0,0
12,7.64,8.3,1.8,1.1,26,86.0,24.1,0,0
8,8.5,189.6,17.3,2.7,16,407.0,24.0,1,0
8,7.24,96.8,6.4,1.3,23,442.0,20.3,0,0
8,6.07,283.7,3.6,4.4,29,722.0,33.0,0,0
12,7.71,72.5,4.8,2.3,9,448.0,29.8,1,0
8,9.92,27.6,8.4,3.0,38,532.0,28.7,1,0
10,6.26,271.6,5.0,3.9,14,723.0,34.5,0,0
10,4.75,119.4,6.4,1.1,11,526.0,31.6,0,0
8,8.49,31.5,2.7,0.8,19,355.0,24.1,0,0
10,6.28,191.2,5.9,10.6,28,123.0,33.9,0,1
8,2.59,107.3,11.4,2.8,30,670.0,32.9,0,0
10,8.03,139.1,8.8,2.7,30,790.0,22.4,0,0
10,5.54,92.7,6.9,0.2,30,875.0,32.5,0,0
10,6.34,264.7,14.9,3.4,14,838.0,25.7,0,0
8,7.1,265.4,17.9,4.0,21,728.0,33.0,0,0
12,6.84,185.4,15.1,4.1,18,597.0,26.3,1,0
8,7.78,16.7,6.6,6.1,6,714.0,25.3,1,0
8,5.72,273.8,14.9,1.0,17,417.0,25.8,0,0
8,7.42,166.8,3.0,1.5,31,556.0,23.1,1,0
10,6.03,179.1,2.6,8.3,13,346.0,20.6,0,0
10,7.83,67.6,6.9,14.7,11,328.0,15.5,1,0
8,7.61,317.1,16.2,0.7,14,693.0,22.7,1,0
10,4.82,193.9,4.9,3.4,13,436.0,41.2,0,0
8,8.45,17.9,1.3,1.2,26,230.0,30.4,0,0
10,5.54,78.6,2.6,0.3,27,222.0,37.3,1,0
8,7.95,326.2,17.2,2.0,11,780.0,26.4,0,0
10,7.16,7.3,12.7,0.8,13,626.0,25.7,0,0
8,9.81,488.2,5.1,6.2,31,514.0,36.6,0,0
12,6.1,170.5,11.1,3.8,28,391.0,29.9,1,1
8,5.87,149.7,10.6,0.8,33,416.0,23.2,0,0
8,6.47,47.3,13.1,0.0,21,99.0,31.2,0,0
8,5.95,42.9,4.7,8.3,24,437.0,34.3,1,0
12,7.94,427.2,17.3,1.0,11,726.0,20.9,1,1
12,3.59,53.1,6.2,4.7,11,380.0,30.3,0,0
8,4.6,224.1,13.9,2.1,32,376.0,21.2,0,0
10,4.58,74.9,0.3,4.4,23,63.0,34.0,0,0
12,8.21,22.5,7.5,1.9,24,439.0,29.2,1,1
10,9.58,1.6,7.0,0.5,11,72.0,31.1,0,0
10,6.31,117.9,10.9,1.3,10,535.0,26.9,0,0
8,6.2,558.1,1.5,1.0,29,481.0,19.1,0,0
8,6.63,69.1,15.8,2.8,17,764.0,25.8,1,0
12,8.59,66.3,4.4,5.4,26,545.0,32.6,1,0
12,4.83,63.3,13.5,1.5,21,325.0,38.0,0,1
10,6.93,110.3,16.1,0.1,26,489.0,29.4,0,1
8,8.26,87.2,11.2,3.7,38,645.0,24.6,0,0
8,7.4,317.9,14.8,4.7,12,130.0,30.7,0,0
10,6.84,105.6,13.2,16.5,22,578.0,32.2,0,1
12,8.3,106.3,7.1,4.5,28,829.0,28.7,1,0
12,1.63,22.3,16.2,3.2,6,304.0,28.4,0,0
10,7.72,608.9,5.9,4.3,6,583.0,29.1,0,0
10,5.32,43.1,11.4,13.1,31,748.0,28.2,0,0
8,3.2,11.4,14.9,8.8,18,485.0,29.5,0,0
8,7.42,163.2,7.6,2.0,16,660.0,37.1,1,0
12,8.97,135.7,6.1,1.4,36,314.0,17.8,0,0
10,6.25,80.5,9.2,1.5,32,310.0,26.8,0,1
8,8.22,82.3,16.4,3.5,32,617.0,23.3,0,0
8,9.4,230.6,18.6,6.8,29,650.0,33.9,0,0
10,8.87,32.7,10.9,3.5,8,846.0,27.3,1,0
8,9.45,257.4,13.2,0.4,30,241.0,30.8,0,0
8,7.84,156.9,18.1,6.4,7,448.0,35.1,1,0
10,6.64,81.4,2.0,8.2,5,263.0,22.6,0,0
10,3.62,91.9,4.6,1.7,21,118.0,25.4,0,0
10,6.06,44.5,14.2,5.5,11,393.0,34.6,0,0
8,4.98,209.2,16.5,2.8,9,368.0,22.4,0,0
10,10.41,107.9,17.1,11.0,23,280.0,25.5,2,0
8,6.18,58.0,8.3,9.3,38,302.0,20.0,0,0
8,6.72,136.0,1.8,3.7,39,356.0,34.8,1,0
10,7.49,818.6,8.8,5.9,20,891.0,25.1,0,0
10,6.58,85.7,4.6,10.7,31,716.0,29.8,0,0
12,9.55,380.2,5.8,3.4,29,111.0,31.4,0,0
10,5.38,63.5,15.4,1.9,30,792.0,24.0,1,1
10,6.85,8.4,1.5,7.0,18,588.0,18.5,1,0
8,5.16,34.3,16.6,1.2,18,807.0,26.9,0,1
8,4.12,81.4,8.6,2.5,18,340.0,26.8,0,0
8,5.4,37.2,11.9,10.0,29,445.0,27.7,0,0
8,6.43,0.0,1.8,6.4,8,812.0,27.7,1,1
12,5.73,369.8,6.7,2.6,19,282.0,25.5,1,0
8,5.25,278.6,1.8,1.2,36,828.0,25.3,0,0
12,3.97,203.4,19.2,2.2,22,754.0,29.5,0,0
10,6.35,27.6,16.1,1.7,18,883.0,23.9,1,0
10,3.79,19.2,9.2,1.0,5,326.0,27.5,0,0
10,7.87,10.5,4.5,6.8,24,250.0,25.2,0,0
10,6.65,193.1,18.7,1.5,14,331.0,29.5,0,0
8,3.88,396.4,6.9,3.0,14,861.0,33.5,0,0
8,5.94,84.5,3.2,2.4,28,333.0,33.7,0,0
10,5.15,19.0,11.3,20.1,38,530.0,34.4,0,0
8,7.07,107.7,18.9,2.5,32,393.0,26.3,0,0
8,8.91,64.3,0.1,0.4,31,387.0,26.7,0,0
10,3.12,70.5,4.8,0.5,5,214.0,21.7,0,1
8,6.71,145.7,18.8,4.5,37,507.0,26.3,0,0
12,6.21,190.3,3.4,4.6,8,772.0,26.5,0,0
12,7.71,17.6,2.3,2.7,11,92.0,24.9,0,0
12,6.88,5.4,11.4,2.8,13,806.0,24.9,0,0
8,5.15,775.9,17.2,0.3,20,616.0,19.5,0,0
8,5.93,39.7,9.5,3.6,9,574.0,21.3,0,0
12,5.07,8.3,19.9,3.5,38,582.0,28.2,0,0
8,8.44,31.6,13.6,0.8,27,302.0,28.4,0,0
12,6.54,6.0,1.5,0.5,29,403.0,30.4,0,0
12,9.92,74.6,19.9,0.7,17,729.0,26.7,1,0
12,6.39,243.2,8.2,0.5,28,310.0,28.1,0,0
8,5.22,62.6,5.7,4.7,15,450.0,34.3,0,0
8,3.78,88.1,11.2,1.1,21,67.0,27.7,0,0
12,3.25,168.9,6.1,1.4,17,674.0,24.8,0,0
8,3.65,106.7,1.7,1.0,31,405.0,22.0,1,1
8,6.98,296.5,0.0,15.8,24,497.0,32.0,1,0
10,7.42,301.5,9.0,9.6,37,147.0,19.5,1,0
12,3.65,1.5,16.7,1.3,36,893.0,23.8,0,1
10,8.11,225.8,11.4,2.0,12,307.0,30.1,0,0
10,5.63,92.6,20.0,1.2,33,590.0,18.5,0,0
8,6.76,674.3,5.7,3.4,23,544.0,24.9,1,1
10,9.4,99.0,5.6,0.1,10,717.0,28.6,0,0
12,8.11,650.2,3.2,5.6,25,300.0,26.1,0,1
8,6.02,210.7,3.3,3.7,26,693.0,23.1,0,0
10,4.9,42.9,5.7,11.4,14,375.0,25.0,1,0
12,2.63,116.0,15.9,0.9,14,399.0,32.1,0,1
10,5.21,726.8,18.1,8.2,33,622.0,37.2,0,1
10,6.12,292.3,19.5,7.9,20,717.0,28.7,0,1
10,4.72,15.4,4.6,0.7,5,617.0,18.1,2,0
8,6.26,183.8,17.6,2.5,21,815.0,30.8,0,0
8,6.64,63.6,6.6,0.9,34,292.0,26.0,1,0
12,6.1,1.1,2.3,1.5,30,816.0,22.5,0,0
12,5.33,77.5,17.4,1.5,23,161.0,24.0,0,0
12,6.8,40.1,12.7,4.1,25,611.0,24.2,0,1
12,7.3,256.3,3.3,2.7,21,515.0,20.9,0,0
10,4.54,61.7,8.6,14.8,25,470.0,27.7,1,0
10,9.04,263.6,5.7,0.7,23,314.0,37.1,0,0
10,6.32,0.1,14.7,18.2,11,478.0,22.5,0,0
10,6.53,55.2,9.1,1.3,21,188.0,37.0,1,0
10,7.77,41.4,19.8,7.4,5,364.0,29.0,0,0
10,6.92,39.9,1.1,2.1,10,134.0,27.5,0,0
12,8.22,10.6,7.1,0.8,30,536.0,26.4,1,0
8,7.02,31.1,9.6,9.8,6,131.0,24.0,0,0
8,5.4,121.6,10.1,1.8,36,186.0,29.5,0,0
8,7.15,51.7,6.3,5.4,9,123.0,30.6,0,0
10,4.44,81.0,14.6,4.2,35,374.0,15.9,1,0
8,6.7,70.9,17.5,3.2,16,766.0,40.7,0,0
8,6.44,313.0,18.8,3.4,39,821.0,18.9,0,0
10,6.13,353.6,16.1,6.6,34,111.0,25.4,0,1
8,6.27,101.9,17.0,0.5,10,589.0,15.2,0,0
10,3.11,60.1,11.0,5.5,19,632.0,26.7,1,0
8,5.51,16.9,16.5,11.3,19,504.0,25.7,0,0
8,6.67,459.9,6.1,0.3,20,617.0,25.4,1,0
12,6.79,9.3,8.0,0.8,24,249.0,29.5,0,0
8,4.65,53.0,6.3,6.3,17,466.0,26.8,0,0
8,8.78,53.1,9.3,2.9,35,382.0,30.7,1,0
10,4.94,57.9,5.7,2.6,38,126.0,21.8,1,0
10,8.25,26.9,19.2,0.7,33,582.0,28.4,0,0
8,7.27,229.3,6.3,3.5,7,471.0,24.8,0,0
10,5.34,19.6,2.0,0.7,13,284.0,26.1,1,0
8,9.7,151.1,10.5,3.2,15,453.0,29.4,0,0
8,4.35,19.8,1.1,7.2,15,709.0,25.5,1,0
10,8.15,11.0,2.2,1.5,29,731.0,27.5,0,0
10,8.3,360.2,4.4,3.3,26,602.0,22.2,0,0
10,5.29,31.6,9.3,24.2,13,448.0,33.5,0,0
10,9.01,258.3,8.7,5.8,24,539.0,31.6,0,0
12,6.05,118.0,16.0,9.2,25,377.0,28.5,0,0
10,7.02,12.2,14.8,2.7,14,158.0,26.8,0,1
8,6.97,466.7,8.5,7.3,26,378.0,27.5,0,0
10,6.26,42.5,6.7,0.2,33,501.0,33.4,0,0
8,7.96,294.5,6.3,0.7,13,559.0,31.3,0,0
8,7.93,27.7,15.5,1.1,9,845.0,33.5,0,0
8,3.35,288.6,1.0,2.6,15,711.0,26.3,0,0
8,8.85,2.0,0.3,9.3,5,179.0,30.4,0,0
12,3.51,107.5,15.9,2.1,5,198.0,33.9,2,1
12,8.36,220.1,9.5,5.3,9,135.0,23.4,0,0
10,8.53,409.5,2.6,6.2,26,677.0,23.1,0,0
8,4.54,359.9,4.7,4.4,30,650.0,29.4,0,0
8,5.76,256.9,18.7,2.2,10,888.0,21.8,1,0
8,4.51,328.6,17.2,4.3,36,494.0,18.9,0,0
8,6.11,33.3,14.2,2.1,15,752.0,33.9,1,0
10,5.95,50.1,9.6,0.4,14,540.0,34.7,0,0
10,7.9,51.2,10.4,24.7,38,793.0,22.1,0,0
10,8.86,71.0,19.5,0.7,35,663.0,20.8,0,0
8,9.01,75.0,19.3,0.4,16,596.0,24.7,0,0
12,5.49,118.0,4.3,10.5,20,530.0,34.3,1,0
10,6.12,26.1,16.2,1.8,7,665.0,25.9,0,0
10,3.47,176.3,3.9,5.3,6,407.0,28.5,1,0
10,5.05,27.5,4.3,2.0,9,132.0,29.6,0,0
8,8.24,55.7,13.5,2.5,15,84.0,28.9,0,0
8,9.41,105.0,8.1,1.5,29,457.0,35.5,0,0
8,4.28,238.8,18.6,2.1,39,559.0,24.4,0,0
10,5.43,201.8,1.8,2.6,39,117.0,27.5,1,0
8,6.45,155.6,10.2,6.4,26,294.0,29.2,0,0
8,7.0,25.4,18.4,3.6,26,324.0,27.8,0,0
8,5.04,118.8,18.1,14.4,15,528.0,21.9,1,1
8,7.26,13.7,3.1,0.2,36,287.0,20.6,1,0
12,5.65,71.1,7.3,3.5,39,131.0,20.5,2,1
10,6.47,80.0,12.4,4.4,35,190.0,31.6,0,0
8,7.48,6.1,3.2,12.6,12,198.0,23.9,0,0
8,6.51,48.0,19.4,0.3,24,766.0,30.3,0,0
8,5.71,467.3,18.3,4.3,38,292.0,28.4,0,1
8,6.3,460.7,3.3,9.6,8,657.0,23.1,1,0
8,6.34,65.2,2.4,1.4,22,533.0,23.3,0,0
8,5.83,6.6,1.7,10.4,8,880.0,28.7,0,0
8,6.03,29.6,18.2,0.1,24,282.0,28.4,0,0
10,9.38,74.7,3.9,6.6,13,185.0,30.5,0,0
10,7.51,442.8,8.3,13.5,20,94.0,25.7,0,0
8,5.97,22.8,9.0,5.4,30,255.0,23.8,1,0
8,7.75,216.3,12.0,2.9,29,631.0,28.5,1,1
10,5.9,17.3,1.4,0.2,8,122.0,35.1,1,0
10,8.61,596.5,4.5,12.6,23,258.0,18.6,0,0
12,7.17,72.1,18.6,3.2,18,777.0,24.0,0,0
10,6.31,223.9,18.2,0.1,25,546.0,31.0,0,1
8,7.31,62.9,15.6,5.9,19,109.0,29.1,0,0
8,3.67,148.2,0.4,3.3,7,91.0,31.0,1,0
10,4.47,32.0,6.5,0.7,20,102.0,25.9,0,0
8,4.35,23.7,12.6,1.2,18,851.0,19.9,0,0
10,6.76,417.2,5.5,0.3,13,772.0,36.4,0,0
12,9.62,374.5,18.2,4.3,11,768.0,33.4,0,1
10,10.52,327.7,12.7,4.9,18,836.0,27.9,1,0
8,7.65,147.3,1.4,3.5,10,479.0,23.8,0,0
10,7.4,247.7,18.2,8.5,25,260.0,25.5,0,0
8,3.26,10.7,19.2,9.9,19,391.0,29.1,1,0
10,5.52,61.1,1.6,4.8,12,661.0,26.7,0,1
12,5.08,56.5,10.6,0.1,38,795.0,27.9,0,0
8,5.38,151.4,6.1,5.9,5,420.0,36.1,1,0
12,6.2,66.0,7.9,2.7,36,505.0,32.6,0,0
12,5.65,24.1,3.6,4.2,9,842.0,22.1,1,0
8,2.94,136.1,11.6,5.2,34,141.0,28.4,0,0
8,7.85,252.6,19.2,2.2,26,783.0,25.4,0,0
8,4.57,72.2,10.1,12.5,24,185.0,29.5,0,0
8,6.93,21.3,1.7,0.7,20,461.0,27.7,0,0
8,10.23,32.9,12.4,5.6,11,236.0,42.8,2,0
10,4.85,40.7,6.8,0.0,11,563.0,30.1,0,0
8,1.95,53.5,17.1,12.9,6,525.0,27.3,0,0
8,5.99,154.4,8.7,0.6,18,373.0,37.2,0,0
12,8.48,137.8,3.9,0.5,35,784.0,29.0,0,0
8,10.03,178.6,3.8,2.0,18,611.0,20.4,0,0
12,4.29,67.5,15.4,2.3,9,663.0,27.4,0,0
8,7.39,260.6,5.3,1.2,15,178.0,31.1,0,0
8,5.66,34.2,15.3,4.4,9,801.0,30.4,0,0
10,6.31,95.0,4.1,2.9,33,192.0,33.0,1,0
10,11.26,242.1,6.4,0.2,15,239.0,28.8,0,0
12,3.79,29.8,9.3,1.9,9,159.0,28.4,0,0
10,6.96,17.5,18.9,8.3,36,424.0,21.0,0,0
12,7.34,322.7,18.6,5.9,19,805.0,35.6,0,0
8,8.45,63.0,4.1,6.5,23,265.0,26.5,0,0
8,6.68,172.7,7.2,6.0,26,368.0,23.1,0,0
10,7.05,3.9,3.0,1.9,38,769.0,41.1,0,0
12,5.8,175.7,10.2,0.5,21,575.0,36.4,1,0
12,6.98,57.0,9.2,1.6,16,689.0,25.8,0,0
8,5.88,8.6,18.0,8.9,29,232.0,18.6,0,0
8,7.62,141.2,18.6,19.7,21,659.0,24.4,0,0
10,5.83,41.3,7.7,3.4,14,243.0,35.9,1,0
8,7.18,73.4,9.8,0.0,32,889.0,28.9,0,0
12,6.45,12.6,17.9,0.8,22,526.0,21.3,0,0
12,8.53,23.9,16.1,1.9,22,641.0,31.9,1,0
8,6.41,53.1,0.1,4.3,36,151.0,27.0,1,1
10,3.31,14.1,6.4,0.4,18,263.0,24.8,2,0
10,8.77,362.6,8.4,14.4,20,169.0,25.1,0,0
8,4.87,0.9,4.6,2.3,22,382.0,34.5,0,0
12,5.32,99.2,4.0,12.2,20,292.0,30.7,0,0
10,5.43,19.7,0.8,7.6,21,673.0,20.6,0,0
12,8.97,55.2,12.9,7.0,11,142.0,29.8,0,0
8,2.66,390.7,5.3,4.7,16,689.0,28.5,1,1
12,12.0,26.5,1.0,4.9,38,89.0,25.9,0,0
8,8.4,506.5,4.6,5.1,14,222.0,26.2,0,0
8,6.9,34.6,16.0,5.0,9,723.0,23.7,0,0
12,6.4,203.0,17.0,4.0,25,681.0,24.7,1,0
8,7.01,118.7,9.7,21.5,7,455.0,29.4,1,0
8,7.44,323.7,8.3,6.6,23,92.0,26.6,0,1
12,7.66,121.1,19.6,7.5,39,568.0,30.7,0,0
12,7.5,114.7,4.0,10.3,10,396.0,24.1,0,0
10,6.66,32.6,4.3,1.2,18,319.0,31.5,0,0
10,6.14,27.3,5.8,0.4,8,594.0,34.6,0,0
8,6.23,372.4,3.5,3.3,22,421.0,28.0,1,1
8,6.15,59.6,7.6,3.6,33,129.0,30.6,0,0
8,8.54,69.8,18.2,8.8,39,829.0,30.8,1,0
10,7.57,214.0,12.3,2.9,20,712.0,25.5,0,0
10,1.5,62.1,8.2,4.2,24,98.0,30.8,0,1
10,7.68,455.7,18.7,3.7,28,496.0,16.7,1,1
10,6.85,200.9,1.0,0.2,39,121.0,14.7,1,0
8,6.47,136.5,4.2,4.8,23,762.0,26.4,1,0
8,5.8,319.2,11.3,8.8,8,571.0,31.2,0,0
8,8.52,7.6,12.3,0.9,37,197.0,27.6,0,0
10,8.21,44.6,0.8,4.5,6,68.0,31.7,0,0
8,5.11,93.8,8.1,4.5,17,77.0,22.0,0,0
12,7.23,38.6,13.0,0.9,34,481.0,32.4,0,0
8,4.75,204.3,14.0,0.7,38,674.0,36.1,0,1
8,4.02,377.4,12.8,19.6,34,153.0,24.5,0,0
8,5.37,82.7,6.4,2.5,28,238.0,31.9,0,0
